last,first,mlbid,ab_id,pitch_id,start_speed,x0,z0,px,pz,pfx_x,pfx_z,stand,inning,height,spinrateND,spindirND,vxf,vzf,xangle,zangle,pitch_type
Rodriguez,Aneury,444553,6887541,14245211,86.0684,-1.32412,6.25999,-0.758226,1.62014,-2.08,8.2,R,3,75,820.336,195.898,0.53885,-14.6846,-0.269637,7.30824,CH
Teheran,Julio,527054,8228606,18022090,85.5755,-2.20715,5.26623,0.552364,1.31787,-4.859,6.24,L,1,74,805.15,218.714,4.47294,-13.8151,-2.22984,6.85765,CH
Jimenez,Ubaldo,434622,7964438,17092031,85.8323,-0.619724,6.76257,-0.744407,1.59281,-3.347,2.01,L,1,76,321.815,260.962,-1.46197,-18.0544,0.726683,8.90224,CH
Scherzer,Max,453286,8114960,17665697,84.979,-3.14599,5.38198,-1.20654,2.9091,-11.663,2.753,L,5,75,1682.12,260.815,0.267519,-11.7972,-0.138128,6.06844,CH
Sanchez,Anibal,434671,7808426,16599671,84.651,-0.393495,5.82921,-1.19184,2.44709,-4.85,2.42,L,1,72,570.194,254.682,-3.45347,-13.8986,1.74607,6.99429,CH
Leake,Mike,502190,8172331,17804454,86.0685,-1.43924,5.70329,-0.53723,0.989718,-7.563,4.303,L,6,73,1014.05,247.855,-0.645697,-16.2246,0.31928,7.97088,CH
Sanchez,Anibal,434671,7967195,17102647,84.5388,-0.534648,6.04453,0.95863,1.60216,-2.623,5.007,L,1,72,434.699,210.668,2.39524,-15.3454,-1.20915,7.70096,CH
Sanchez,Anibal,434671,8299209,18292599,75.1694,-0.296402,6.19145,-1.14477,5.02065,-3.63,4.36,L,5,72,535.649,224.194,-2.78942,-9.11476,1.58658,5.17156,CH
Gee,Dillon,518716,7924916,16937211,82.9695,-1.4985,5.3072,-0.519342,1.94803,-8.719,1.211,L,6,73,1023.2,268.532,-0.844393,-14.2728,0.434856,7.31061,CH
Marquis,Jason,150302,8254393,18120361,75.8554,-2.83577,5.9409,-0.315604,1.27812,-6.424,3.049,L,1,73,569.59,254.283,2.99722,-16.3922,-1.69599,9.19846,CH
Fister,Douglas,450729,8239226,18062573,81.2137,-3.84616,6.19114,-1.17491,2.4533,-9.73,2.8,L,4,80,1325.96,259.474,2.42962,-14.5629,-1.28103,7.63411,CH
Kendrick,Kyle,452718,8203707,17926428,84.68,-1.40129,6.58816,-0.556326,0.700035,-7.673,2.528,L,1,75,844.822,264.995,-0.786104,-19.3929,0.400301,9.77936,CH
Pettibone,Jonathan,543643,8210457,17952365,80.7376,-2.55554,6.42453,0.508343,2.4797,-7.527,4.718,L,4,77,791.437,242.592,3.96123,-14.3764,-2.11932,7.64934,CH
Neshek,Pat,450212,6934133,14380103,70.9542,-2.95808,4.84298,-0.925938,1.96999,-7.21,3.35,L,7,75,744.382,249.785,1.67213,-13.0124,-1.01154,7.82355,CH
Mitchell,D.J.,543551,8022137,17313047,86.8551,-1.85993,5.90417,-0.150807,1.42724,-8.71,3.11,R,9,74,1148.75,258.433,0.781124,-16.1227,-0.387315,7.94319,CH
